,,,
Código de la CIE-10 tres caracteres,Descripcion  de codigos a tres caracteres,Código de la CIE-10 cuatro caracteres,Descripcion  de códigos a cuatro caracteres
V17,Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo,V173,"Ciclista lesionado por colision con objeto estacionado o fijo, persona lesionada al subir o bajar del vehiculo"
V17,Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo,V174,"Ciclista lesionado por colision con objeto estacionado o fijo, conductor lesionado en accidente de transito"
V17,Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo,V175,"Ciclista lesionado por colision con objeto estacionado o fijo, pasajero lesionado en accidente de transito"
V17,Ciclista Lesionado Por Colision Con Objeto Estacionado O Fijo,V179,"Ciclista lesionado por colision con objeto estacionado o fijo, ciclista no especificado, lesionado en accidente de transito"
V18,Ciclista Lesionado En Accidente De Transporte Sin Colision,V180,"Ciclista lesionado en accidente de transporte sin colision, conductor lesionado en accidente no de transito"
V18,Ciclista Lesionado En Accidente De Transporte Sin Colision,V181,"Ciclista lesionado en accidente de transporte sin colision, pasajero lesionado en accidente no de transito"
V18,Ciclista Lesionado En Accidente De Transporte Sin Colision,V182,"Ciclista lesionado en accidente de transporte sin colision, ciclista no especificado, lesionado en accidente no de transito"
V18,Ciclista Lesionado En Accidente De Transporte Sin Colision,V183,"Ciclista lesionado en accidente de transporte sin colision, persona lesionada al subir o bajar del vehiculo"
V18,Ciclista Lesionado En Accidente De Transporte Sin Colision,V184,"Ciclista lesionado en accidente de transporte sin colision, conductor lesionado en accidente de transito"
V18,Ciclista Lesionado En Accidente De Transporte Sin Colision,V185,"Ciclista lesionado en accidente de transporte sin colision, pasajero lesionado en accidente de transito"
V18,Ciclista Lesionado En Accidente De Transporte Sin Colision,V189,"Ciclista lesionado en accidente de transporte sin colision, ciclista no especificado, lesionado en accidente de transito"
V19,"Ciclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V190,"Conductor de vehiculo de pedal lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente no de transito"
V19,"Ciclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V191,"Pasajero de vehiculo de pedal lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente no de transito"
V19,"Ciclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V192,"Ciclista no especificado  lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente no de transito"
V19,"Ciclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V193,"Ciclista (cualquiera) lesionado en accidente no de transito, no especificado"
V19,"Ciclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V194,"Conductor de vehiculo de pedal lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente de transito"
V19,"Ciclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V195,"Pasajero de vehiculo de pedal lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente de transito"
V19,"Ciclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V196,"Ciclista no especificado lesionado por colision con otros vehiculos de motor, y con los no especificado, en accidente de transito"
V19,"Ciclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V198,Ciclista [cualquiera] lesionado en otros accidentes de transporte especificados
V19,"Ciclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V199,Ciclista [cualquiera] lesionado en accidente de transito no especificado
V20,Motociclista Lesionado Por Colision Con Peaton O Animal,V200,"Motociclista lesionado por colision con peaton o animal, conductor lesionado en accidente no de transito"
V20,Motociclista Lesionado Por Colision Con Peaton O Animal,V201,"Motociclista lesionado por colision con peaton o animal, pasajero lesionado en accidente no de transito"
V20,Motociclista Lesionado Por Colision Con Peaton O Animal,V202,"Motociclista lesionado por colision con peaton o animal, motociclista no especificado, lesionado en accidente no de transito"
V20,Motociclista Lesionado Por Colision Con Peaton O Animal,V203,"Motociclista lesionado por colision con peaton o animal, persona lesionada al subir o bajar del vehiculo"
V20,Motociclista Lesionado Por Colision Con Peaton O Animal,V204,"Motociclista lesionado por colision con peaton o animal, conductor lesionado en accidente de transito"
V20,Motociclista Lesionado Por Colision Con Peaton O Animal,V205,"Motociclista lesionado por colision con peaton o animal, pasajero lesionado en accidente de transito"
V20,Motociclista Lesionado Por Colision Con Peaton O Animal,V209,"Motociclista lesionado por colision con peaton o animal, motociclista no especificado, lesionado en accidente de transito"
V21,Motociclista Lesionado Por Colision Con Vehiculo De Pedal,V210,"Motociclista lesionado por colision con vehiculo de pedal, conductor lesionado en accidente no de transito"
V21,Motociclista Lesionado Por Colision Con Vehiculo De Pedal,V211,"Motociclista lesionado por colision con vehiculo de pedal, pasajero lesionado en accidente no de transito"
V21,Motociclista Lesionado Por Colision Con Vehiculo De Pedal,V212,"Motociclista lesionado por colision con vehiculo de pedal, motociclista no especificado, lesionado en accidente no de transito"
V21,Motociclista Lesionado Por Colision Con Vehiculo De Pedal,V213,"Motociclista lesionado por colision con vehiculo de pedal, persona lesionada al subir o bajar del vehiculo"
V21,Motociclista Lesionado Por Colision Con Vehiculo De Pedal,V214,"Motociclista lesionado por colision con vehiculo de pedal, conductor lesionado en accidente de transito"
V21,Motociclista Lesionado Por Colision Con Vehiculo De Pedal,V215,"Motociclista lesionado por colision con vehiculo de pedal, pasajero lesionado en accidente de transito"
V21,Motociclista Lesionado Por Colision Con Vehiculo De Pedal,V219,"Motociclista lesionado por colision con vehiculo de pedal, motociclista no especificado, lesionado en accidente de transito"
V22,Motociclista Lesionado Por Colision Con Vehiculo De Dos O Tres Ruedas,V220,"Motociclista lesionado por colision con vehiculo de motor de dos o tres ruedas, conductor lesionado en accidente no de transito"
V22,Motociclista Lesionado Por Colision Con Vehiculo De Dos O Tres Ruedas,V221,"Motociclista lesionado por colision con vehiculo de motor de dos o tres ruedas, pasajero lesionado en accidente no de transito"
V22,Motociclista Lesionado Por Colision Con Vehiculo De Dos O Tres Ruedas,V222,"Motociclista lesionado por colision con vehiculo de motor de dos o tres ruedas, motociclista no especificado, lesionado en accidente no de transito"
V22,Motociclista Lesionado Por Colision Con Vehiculo De Dos O Tres Ruedas,V223,"Motociclista lesionado por colision con vehiculo de motor de dos o tres ruedas, persona lesionada al subir o bajar del vehiculo"
V22,Motociclista Lesionado Por Colision Con Vehiculo De Dos O Tres Ruedas,V224,"Motociclista lesionado por colision con vehiculo de motor de dos o tres ruedas, conductor lesionado en accidente de transito"
V22,Motociclista Lesionado Por Colision Con Vehiculo De Dos O Tres Ruedas,V225,"Motociclista lesionado por colision con vehiculo de motor de dos o tres ruedas, pasajero lesionado en accidente de transito"
V22,Motociclista Lesionado Por Colision Con Vehiculo De Dos O Tres Ruedas,V229,"Motociclista lesionado por colision con vehiculo de motor de dos o tres ruedas, motociclista no especificado, lesionado en accidente de transito"
V23,"Motociclista Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V230,"Motociclista lesionado por colision con automovil, camioneta o furgoneta, conductor lesionado en accidente no de transito"
V23,"Motociclista Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V231,"Motociclista lesionado por colision con automovil, camioneta o furgoneta, pasajero  lesionado en accidente no de transito"
V23,"Motociclista Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V232,"Motociclista lesionado por colision con automovil, camioneta o furgoneta, motociclista no especificado lesionado en accidente no de transito"
V23,"Motociclista Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V233,"Motociclista lesionado por colision con automovil, camioneta o furgoneta, persona lesionada al subir o bajar del vehiculo"
V23,"Motociclista Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V234,"Motociclista lesionado por colision con automovil, camioneta o furgoneta, conductor lesionado en accidente de transito"
V23,"Motociclista Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V235,"Motociclista lesionado por colision con automovil, camioneta o furgoneta, pasajero lesionado en accidente de transito"
V23,"Motociclista Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V239,"Motociclista lesionado por colision con automovil, camioneta o furgoneta, motociclista no especificado, lesion en accidente de transito"
V24,Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Bus,V240,"Motociclista lesionado por colision con vehiculo de transporte pesado o autobus, conductor lesionado en accidente no de transito"
V24,Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Bus,V241,"Motociclista lesionado por colision con vehiculo de transporte pesado o autobus, pasajero lesionado en accidente no de transito"
V24,Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Bus,V242,"Motociclista lesionado por colision con vehiculo de transporte pesado o autobus, motociclista no especificado, lesionado en accidente no de transito"
V24,Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Bus,V243,"Motociclista lesionado por colision con vehiculo de transporte pesado o autobus, persona lesionada al subir o bajar del vehiculo"
V24,Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Bus,V244,"Motociclista lesionado por colision con vehiculo de transporte pesado o autobus, conductor lesionado en accidente de transito"
V24,Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Bus,V245,"Motociclista lesionado por colision con vehiculo de transporte pesado o autobus, pasajero lesionado en accidente de transito"
V24,Motociclista Lesionado Por Colision Con Vehiculo De Transporte Pesado O Bus,V249,"Motociclista lesionado por colision con vehiculo de transporte pesado o autobus, motociclista no especificado, lesionado en accidente de transito"
V25,Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles,V250,"Motociclista lesionado por colision con tren o vehiculo de rieles, conductor lesionado en accidente no de transito"
V25,Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles,V251,"Motociclista lesionado por colision con tren o vehiculo de rieles, pasajero lesionado en accidente no de transito"
V25,Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles,V252,"Motociclista lesionado por colision con tren o vehiculo de rieles, motociclista no especificado, lesionado en accidente no de transito"
V25,Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles,V253,"Motociclista lesionado por colision con tren o vehiculo de rieles, persona lesionada al subir o bajar del vehiculo"
V25,Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles,V254,"Motociclista lesionado por colision con tren o vehiculo de rieles, conductor lesionado en accidente de transito"
V25,Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles,V255,"Motociclista lesionado por colision con tren o vehiculo de rieles, pasajero lesionado en accidente de transito"
V25,Motociclista Lesionado Por Colision Con Tren O Vehiculo De Rieles,V259,"Motociclista lesionado por colision con tren o vehiculo de rieles, motociclista no especificado, lesionado en accidente de transito"
V26,Motociclista Lesionado Por Colision Con Otros Vehiculo Sin Motor,V260,"Motociclista lesionado por colision con otros vehiculos sin motor, conductor lesionado en accidente no de transito"
V26,Motociclista Lesionado Por Colision Con Otros Vehiculo Sin Motor,V261,"Motociclista lesionado por colision con otros vehiculos sin motor, pasajero lesionado en accidente no de transito"
V26,Motociclista Lesionado Por Colision Con Otros Vehiculo Sin Motor,V262,"Motociclista lesionado por colision con otros vehiculos sin motor, motociclista no especificado, lesionado en accidente no de transito"
V26,Motociclista Lesionado Por Colision Con Otros Vehiculo Sin Motor,V263,"Motociclista lesionado por colision con otros vehiculos sin motor, persona lesionada al subir o bajar del vehiculo"
V26,Motociclista Lesionado Por Colision Con Otros Vehiculo Sin Motor,V264,"Motociclista lesionado por colision con otros vehiculos sin motor, conductor lesionado en accidente de transito"
V26,Motociclista Lesionado Por Colision Con Otros Vehiculo Sin Motor,V265,"Motociclista lesionado por colision con otros vehiculos sin motor, pasajero lesionado en accidente de transito"
V26,Motociclista Lesionado Por Colision Con Otros Vehiculo Sin Motor,V269,"Motociclista lesionado por colision con otros vehiculos sin motor, motociclista no especificado, lesionado en accidente de transito"
V27,Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado,V270,"Motociclista lesionado por colision con objeto fijo o estacionado, conductor lesionado en accidente no de transito"
V27,Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado,V271,"Motociclista lesionado por colision con objeto fijo o estacionado, pasajero lesionado en accidente no de transito"
V27,Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado,V272,"Motociclista lesionado por colision con objeto fijo o estacionado, motociclista no especificado, lesionado en accidente no de transito"
V27,Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado,V273,"Motociclista lesionado por colision con objeto fijo o estacionado, persona lesionada al subir o bajar del vehiculo"
V27,Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado,V274,"Motociclista lesionado por colision con objeto fijo o estacionado, conductor lesionado en accidente de transito"
V27,Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado,V275,"Motociclista lesionado por colision con objeto fijo o estacionado, pasajero lesionado en accidente de transito"
V27,Motociclista Lesionado Por Colision Con Objeto Fijo O Estacionado,V279,"Motociclista lesionado por colision con objeto fijo o estacionado, motociclista no especificado, lesionado en accidente de transito"
V28,Motociclista Lesionado Accidente Transporte Sin Colision,V280,"Motociclista lesionado en accidente de transporte sin colision, conductor lesionado en accidente no de transito"
V28,Motociclista Lesionado Accidente Transporte Sin Colision,V281,"Motociclista lesionado en accidente de transporte sin colision, pasajero lesionado en accidente no de transito"
V28,Motociclista Lesionado Accidente Transporte Sin Colision,V282,"Motociclista lesionado en accidente de transporte sin colision, motociclista no especificado, lesionado en accidente no de transito"
V28,Motociclista Lesionado Accidente Transporte Sin Colision,V283,"Motociclista lesionado en accidente de transporte sin colision, persona lesionada al subir o bajar del vehiculo"
V28,Motociclista Lesionado Accidente Transporte Sin Colision,V284,"Motociclista lesionado en accidente de transporte sin colision, conductor lesionado en accidente de transito"
V28,Motociclista Lesionado Accidente Transporte Sin Colision,V285,"Motociclista lesionado en accidente de transporte sin colision, pasajero lesionado en accidente de transito"
V28,Motociclista Lesionado Accidente Transporte Sin Colision,V289,"Motociclista lesionado en accidente de transporte sin colision, motociclista no especificado, lesionado en accidente de transito"
V29,"Motociclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V290,"Conductor de motocicleta lesionado por colision con otros vehiculos de motor, y con los no especificados en accidente no de transito"
V29,"Motociclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V291,"Pasajero de motocicleta lesionado por colision con otros vehiculos de motor, y con los no especificados en accidente no de transito"
V29,"Motociclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V292,"Motociclista no especificado lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente no de transito"
V29,"Motociclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V293,"Motociclista [cualquiera] lesionado en accidente no de transito, no especificado"
V29,"Motociclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V294,"Conductor de motocicleta lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente de transito"
V29,"Motociclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V295,"Pasajero de motocicleta lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente de transito"
V29,"Motociclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V296,"Motociclista no especificado lesionado por colision con otros vehiculos de motor, y con los no especificados, en accidente de transito"
V29,"Motociclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V298,Motociclista [cualquiera] lesionado en otros accidentes de transporte especificados
V29,"Motociclista Lesionado En Otros Accidentes De Transporte, Y En Los No Especificados",V299,Motociclista [cualquiera] lesionado en accidente de transito no especificado
V30,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal,V300,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con peaton o animal, conductor lesionado en accidente no de transito"
V30,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal,V301,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con peaton o animal, pasajero lesionado en accidente no de transito"
V30,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal,V302,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con peaton o animal, persona que viaja fuera del vehiculo, lesionada en accidente no de transito"
V30,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal,V303,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con peaton o animal, ocupante no especificado de vehiculo de motor de tres ruedas lesionado en accidente no de transito"
V30,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal,V304,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con peaton o animal, persona lesionada al subir o bajar del vehiculo"
V30,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal,V305,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con peaton o animal, conductor lesionado en accidente de transito"
V30,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal,V306,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con peaton o animal, pasajero lesionado en accidente de transito"
V30,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal,V307,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con peaton o animal, persona que viaja fuera del vehiculo, lesionada en accidente de transito"
V30,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Peaton O Animal,V309,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con peaton o animal, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente de transito"
V31,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal,V310,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de pedal, conductor lesionado en accidente no de transito"
V31,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal,V311,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de pedal, pasajero lesionado en accidente no de transito"
V31,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal,V312,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de pedal, persona que viaja fuera del vehiculo, lesionada en accidente no de transito"
V31,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal,V313,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de pedal, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente no de transito"
V31,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal,V314,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de pedal, persona lesionada al subir o bajar del vehiculo"
V31,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal,V315,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de pedal, conductor lesionado en accidente de transito"
V31,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal,V316,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de pedal, pasajero lesionado en accidente de transito"
V31,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal,V317,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de pedal, persona que viaja fuera del vehiculo, lesionada en accidente de transito"
V31,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Pedal,V319,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de pedal, ocupante no especificado de vehiculo de motor de tres ruedas,  lesionado en accidente de transito"
V32,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas,V320,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otro vehiculo de motor de dos o tres ruedas, conductor lesionado en accidente no de transito"
V32,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas,V321,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otro vehiculo de motor de dos o tres ruedas, pasajero lesionado en accidente no de transito"
V32,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas,V322,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otro vehiculo de motor de dos o tres ruedas, persona que viaja fuera del vehiculo, lesionada en accidente no de transito"
V32,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas,V323,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otro vehiculo de motor de dos o tres ruedas, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente no de transito"
V32,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas,V324,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otro vehiculo de motor de dos o tres ruedas, persona lesionada al subir o bajar del vehiculo"
V32,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas,V325,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otro vehiculo de motor de dos o tres ruedas, conductor lesionado en accidente de transito"
V32,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas,V326,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otro vehiculo de motor de dos o tres ruedas, pasajero lesionado en accidente de transito"
V32,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas,V327,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otro vehiculo de motor de dos o tres ruedas, persona que viaja  fuera del vehiculo, lesionada en accidente de transito"
V32,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Motor De Dos O Tres Ruedas,V329,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con otro vehiculo de motor de dos o tres ruedas, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente de transito"
V33,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V330,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con automovil, camioneta o furgoneta, conductor lesionado en accidente no de transito"
V33,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V331,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con automovil, camioneta o furgoneta, pasajero lesionado en accidente no de transito"
V33,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V332,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con automovil, camioneta o furgoneta, persona que viaja  fuera del vehiculo, lesionada en accidente no de transito"
V33,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V333,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con automovil, camioneta o furgoneta, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente no de transito"
V33,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V334,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con automovil, camioneta o furgoneta, persona lesionada al subir o bajar del vehiculo"
V33,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V335,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con automovil, camioneta o furgoneta, conductor lesionado en accidente de transito"
V33,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V336,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con automovil, camioneta o furgoneta, pasajero lesionado en accidente de transito"
V33,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V337,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con automovil, camioneta o furgoneta, persona que viaja fuera del vehiculo, lesionada en accidente de transito"
V33,"Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Automovil, Camioneta O Furgoneta",V339,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con automovil, camioneta o furgoneta, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente de transito"
V34,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus,V340,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de transporte pesado o autobus, conductor lesionado en accidente no de transito"
V34,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus,V341,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de transporte pesado o autobus, pasajero lesionado en accidente no de transito"
V34,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus,V342,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de transporte pesado o autobus, persona que viaja fuera del vehiculo, lesionada en accidente no de transito"
V34,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus,V343,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de transporte pesado o autobus, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente no de transito"
V34,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus,V344,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de transporte pesado o autobus, persona lesionada al subir o bajar del vehiculo"
V34,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus,V345,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de transporte pesado o autobus, conductor lesionado en accidente de transito"
V34,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus,V346,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de transporte pesado o autobus, pasajero lesionado en accidente de transito"
V34,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus,V347,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de transporte pesado o autobus, persona que viaja fuera del vehiculo, lesionada en accidente de transito"
V34,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Vehiculo De Transporte Pesado O Autobus,V349,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con vehiculo de transporte pesado o autobus, ocupante no especificado de vehiculo de motor de tres ruedas, lesionado en accidente de transito"
V35,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles,V350,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con tren o vehiculo de rieles, conductor lesionado en accidente no de transito"
V35,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles,V351,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con tren o vehiculo de rieles, pasajero lesionado en accidente no de transito"
V35,Ocupante De Vehiculo De Motor De Tres Ruedas Lesionado Por Colision Con Tren O Vehiculo De Rieles,V352,"Ocupante de vehiculo de motor de tres ruedas lesionado por colision con tren o vehiculo de rieles, persona que viaja  fuera del vehiculo, lesionada en accidente no de transito"
